cycle: 67; nbPreys: 34; minEnergyPreys: 0.17901960784313697; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.0066666666666664945; maxSizePredators: 1.0
cycle: 68; nbPreys: 32; minEnergyPreys: 0.19411764705882445; maxSizePreys: 1.0; nbPredators: 25; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 69; nbPreys: 31; minEnergyPreys: 0.21647058823529505; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.0999999999999994; maxSizePredators: 1.0
cycle: 70; nbPreys: 35; minEnergyPreys: 0.11745098039215682; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 71; nbPreys: 32; minEnergyPreys: 0.16745098039215683; maxSizePreys: 1.0; nbPredators: 26; minEnergyPredators: 0.05999999999999939; maxSizePredators: 1.0
cycle: 72; nbPreys: 30; minEnergyPreys: 0.21745098039215682; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.03999999999999938; maxSizePredators: 1.0
cycle: 73; nbPreys: 29; minEnergyPreys: 0.26745098039215687; maxSizePreys: 1.0; nbPredators: 30; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 74; nbPreys: 29; minEnergyPreys: 0.3174509803921569; maxSizePreys: 1.0; nbPredators: 29; minEnergyPredators: 0.019999999999999383; maxSizePredators: 1.0
cycle: 75; nbPreys: 28; minEnergyPreys: 0.36745098039215696; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.0999999999999994; maxSizePredators: 1.0
cycle: 76; nbPreys: 32; minEnergyPreys: 0.25; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.07999999999999939; maxSizePredators: 0.98
cycle: 77; nbPreys: 29; minEnergyPreys: 0.30000000000000004; maxSizePreys: 1.0; nbPredators: 28; minEnergyPredators: 0.05999999999999939; maxSizePredators: 1.0
